Word,CS - Drama freq,POS,Word freq,Word count,Male - Female
computer,0.023896690567572126,NOUN,0.010780987411611757,340,0.028153449296951294
science,0.012365743357829282,NOUN,0.005549037638329581,175,0.016661733388900757
programming,0.011871113623516111,NOUN,0.005327076132796398,168,0.019275695085525513
systems,0.007008618210308133,NOUN,0.0032025874369787867,101,0.04313771054148674
algorithms,0.0051582815149802145,NOUN,0.0023147414148460537,73,0.03171700984239578
technology,0.003983318953120507,NOUN,0.0019025271902844277,60,0.03423560410737991
software,0.003886376483889203,NOUN,0.0017439832577607255,55,0.030373305082321167
programs,0.003674392312040701,NOUN,0.001648856898246504,52,-0.00275266170501709
problems,0.0036037309214245338,NOUN,0.0016171481117417637,51,0.03251400589942932
problem,0.0035806729939603108,NOUN,0.002124488695817611,67,0.04796603322029114
data,0.003462408140192199,NOUN,0.0015537305387322827,49,0.01780325174331665
solving,0.0030860432596471394,NOUN,0.0019025271902844277,60,0.03126399964094162
computers,0.0028971170152628603,NOUN,0.001300060246694359,41,0.012962952256202698
security,0.002402487280949689,NOUN,0.0010780987411611758,34,0.06073746085166931
world,0.0023400077355627625,NOUN,0.0013951866062085804,44,0.024986594915390015
system,0.002331825890333522,NOUN,0.0010463899546564353,33,0.03981807082891464
networks,0.002331825890333522,NOUN,0.0010463899546564353,33,0.018490593880414963
paper,0.0021887675661737727,NOUN,0.0019025271902844277,60,0.00992514193058014
understanding,0.0020390150050082815,NOUN,0.0039635983130925576,125,0.017761602997779846
network,0.0018371961560203504,NOUN,0.000824428449123252,26,0.001288972795009613
