time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Chemistry,GCSE,82019,81834,77744,71472,z,z,z,z,100,95,87,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Chemistry,GCSE,163811,163377,154619,141472,z,z,z,z,100,94,86,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Classical Civilisation,GCSE,1676,1674,1584,1448,z,z,z,z,100,95,86,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Classical Civilisation,GCSE,1763,1758,1703,1617,z,z,z,z,100,97,92,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Classical Civilisation,GCSE,3439,3432,3287,3065,z,z,z,z,100,96,89,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Classical Greek,GCSE,609,606,603,600,z,z,z,z,100,99,99,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Classical Greek,GCSE,381,381,378,374,z,z,z,z,100,99,98,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Classical Greek,GCSE,990,987,981,974,z,z,z,z,100,99,98,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Combined Science,GCSE,211236,208327,130809,81854,z,z,z,z,99,62,39,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Combined Science,GCSE,205533,203505,138002,92453,z,z,z,z,99,67,45,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Combined Science,GCSE,416769,411832,268811,174307,z,z,z,z,99,64,42,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Computer Science,GCSE,61065,60246,49493,41284,z,z,z,z,99,81,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Computer Science,GCSE,16071,15906,13911,12216,z,z,z,z,99,87,76,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Computer Science,GCSE,77136,76152,63404,53500,z,z,z,z,99,82,69,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Dance,GCSE,558,549,436,347,z,z,z,z,98,78,62,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Dance,GCSE,8262,8213,7206,6165,z,z,z,z,99,87,75,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Dance,GCSE,8820,8762,7642,6512,z,z,z,z,99,87,74,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Design & Technology,GCSE,58543,57700,42787,32511,z,z,z,z,99,73,56,z,z,z,z
